 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor serviços hospitalares por Unidade da Federação e Ano/mês atendimento
Período:2010-2019
"Unidade da Federação";"1992/Mar";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2002/Jan";"2002/Fev";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2014,18;-;-;16095,05;28158,87;90932,63;369597,39;754431,11;1478043,92;3024388,58;3112817,60;3727820,59;3615567,36;3837200,54;3490420,38;3701948,14;3550594,05;3709898,50;3569084,54;3519637,60;3511967,18;3350502,87;3419732,11;3740663,17;4080915,85;3755186,49;3737159,40;3440358,34;3779671,60;3310876,33;3445157,85;3465175,86;3201957,44;3541806,84;3497780,16;3859591,73;3644975,87;3636820,86;3525113,67;3256864,65;3426553,83;3198150,35;3375459,73;3267327,23;3104977,28;3497936,55;3461732,33;4353505,80;4244229,95;4078487,14;3862571,16;4334793,92;4625963,83;5065563,32;4986165,12;5317457,96;4931877,47;5059188,14;4845279,73;5416888,78;5267417,69;6097596,58;5562493,43;5724736,01;5545048,60;5683147,64;5699024,24;5613332,62;5482016,54;5626673,85;5325207,19;5993026,19;5926817,41;6086848,41;6056830,43;5953710,40;5777886,27;5961593,93;6203618,38;5962680,69;6076562,70;5645701,37;5385943,91;6254132,97;6206168,71;6921316,98;6750289,57;6312844,88;6351375,48;6034037,57;6402890,58;5530345,33;5735228,77;5594697,63;5717217,91;7002110,79;6506712,17;6460048,83;6434526,00;6544809,83;6632214,50;6278791,51;6881636,61;6432627,22;6551624,69;6787552,89;6218127,26;7114108,65;6691124,37;7632481,39;6532585,50;7230844,27;7306218,99;6688732,24;6704434,57;6935181,27;6523446,38;6728278,77;6926785,40;7248783,96;7380160,02;7593776,54;6873539,46;7193014,74;7158294,37;6597593,23;6278797,60;4963799,28;2104163,13;628860426,21
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;340,25;-;-;-;-;5731,52;7740,22;37352,08;164679,59;464316,10;905727,82;1808823,59;1581859,94;1913894,59;1957734,61;1923035,88;1754774,04;1718544,84;1847752,52;1939898,69;1975790,51;1912433,80;1895006,42;2089815,15;1869187,34;2122686,72;2022542,64;2367073,38;2069122,04;2147502,58;2240069,94;2136917,89;2100842,65;2068473,78;2080621,00;2108143,42;1882752,68;2324761,76;2115886,78;2138989,28;2129256,71;2233375,27;2118947,51;2340259,20;2318952,51;2157292,89;1991262,61;2092079,02;2042525,14;2116763,14;2200799,03;2164461,04;2017786,73;2212055,38;2166532,82;2121666,31;2274774,18;2005679,27;2012594,53;2186416,46;1957858,72;2274358,96;2326755,97;2348884,06;2348724,25;2233900,49;2333371,31;2005332,98;2332143,93;2404964,35;2163715,59;2370723,49;2193574,37;2299187,90;2396470,13;2325307,88;2524086,46;2223196,54;2406744,78;2339155,96;2399715,31;2366031,28;2300537,23;2419578,60;2289266,46;2473852,22;2460425,67;2605439,60;2588324,62;2737004,49;2712522,70;2422709,18;2230724,18;2390077,13;2442515,04;2279059,54;2391531,43;2735707,52;2124469,58;2368276,04;2549734,19;2700015,83;2550236,08;2537249,04;2537609,27;2376114,08;1972834,77;2272774,80;2112033,20;2316789,58;2164181,23;2453401,63;2351930,83;2527967,28;2301939,70;2237202,86;2388420,99;1885609,79;1737540,19;1988572,90;1712023,99;1880225,82;2272423,89;2316539,32;2455798,36;2624866,04;2111474,77;2004251,26;1890353,90;1463905,85;645586,73;264490139,90
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1930264,06;-;-;-;10626,70;-;-;-;-;-;-;-;2716,01;601,58;-;-;-;-;2547,21;32304,01;200720,88;1820983,84;3186057,29;5435097,60;7191769,76;6403353,80;7932713,42;7788766,25;7656853,96;7148304,33;7074434,33;7241175,54;7437877,69;7583162,51;7274434,71;7139285,35;7484141,00;7225528,91;8442447,01;8150433,00;7796345,89;7641552,07;7676616,98;7542257,53;7488213,87;7744281,70;8185237,87;6615772,42;7636771,78;6861793,93;8593169,53;8112362,37;8918198,08;8234906,52;8472599,93;8280371,85;7266897,69;7614338,24;7606354,38;6805050,64;8245410,02;7268318,80;7798949,50;8086462,05;8519251,74;7995844,66;7893127,35;8326716,30;7916926,68;8060788,53;7765771,64;7109230,23;7174087,74;6135642,66;7565345,29;7937814,23;7933621,55;8102821,67;7979517,20;8221586,11;8633698,48;8987064,33;8526081,14;8304924,31;9326510,73;8696715,02;10364385,57;10192079,85;9969914,80;10217794,35;10117001,20;10299662,81;9612442,68;9971241,63;8724642,25;8868140,56;8764192,63;9132252,26;10274819,89;10028432,98;10433569,67;10217112,08;9730542,67;9601547,61;8896450,15;9330416,05;8233464,87;9150013,34;9301628,24;8970961,79;10396878,44;10567237,62;10621804,57;10562386,32;11083495,21;10519977,85;10685455,22;10553424,06;10321970,60;10507023,34;11130141,62;9829866,09;11308796,75;11228413,37;11884129,71;11383519,94;12016061,65;12712217,15;11843765,09;12532670,97;10941524,17;11065012,59;11898600,09;10982948,88;12534725,04;12600055,09;12842678,43;12081568,25;12943886,34;12784069,75;11686211,55;11662382,99;7585301,55;2987113,15;1102089945,35
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3567,34;-;365,13;38861,88;147313,29;404308,52;658058,52;1203722,97;1095997,10;1368271,00;1300698,18;1496328,37;1415669,83;1424923,29;1548515,26;1446850,70;1297243,88;1141127,99;1104806,07;1204872,32;929763,92;991529,89;1063516,18;1251245,73;1352923,73;1241116,84;1220675,13;1333398,61;1393228,13;1224338,78;1189261,30;1191015,61;1201675,89;1303170,75;1175541,89;1497563,69;1336892,67;1314323,00;1364172,33;1210521,65;986321,05;1173306,50;1152818,14;1252639,75;1098035,31;1320598,96;1253180,00;1277029,08;1451068,25;1364069,71;1342172,70;1295704,66;1317185,29;1273334,67;1284875,80;1217761,91;1065161,30;1350005,00;1280705,99;1435076,20;1349836,33;1400486,84;1364157,57;1424832,95;1347278,70;1458693,69;1444077,98;1452834,25;1231725,06;1355533,80;1475963,52;1488135,83;1675591,11;1685980,06;1704538,18;1642896,44;1483908,79;1438933,90;1519742,62;1744782,58;1490457,88;1762641,84;1571080,88;1612653,02;1838521,50;1769620,89;1872934,72;1679211,41;1795076,58;1657923,41;1846423,44;1825604,26;1707909,55;1974713,60;1797871,99;2092514,42;2042609,50;2032792,88;2164722,92;2043382,01;2011074,58;1991973,62;2005377,48;2046182,47;1845583,33;1976493,60;2014664,07;2103171,16;2217428,46;2118771,94;2490326,20;2116165,01;2197263,96;1866456,75;1807675,85;1979221,16;1864720,66;2124056,64;2042417,49;2127333,58;2007842,61;2154454,09;2383966,38;2272371,62;2295426,76;1927686,12;924299,93;189459430,05
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;267,60;-;-;-;-;6110,89;127562,18;461338,92;2435955,76;5552259,95;13293935,10;20592992,83;19976751,24;22364787,10;21082570,95;22281743,61;21105678,10;20368397,29;21675680,74;21146216,37;20507587,80;20605377,86;20401706,94;21802871,74;20377733,65;22769590,65;21230788,74;21530106,47;20363058,04;19713625,68;21048384,96;20893951,08;20792788,22;20805418,47;19864247,66;20707405,45;19665292,47;22334607,65;20874621,62;22085707,55;19279185,06;18346891,15;19476473,18;20364325,87;20768659,52;19709646,31;18608192,99;21317153,83;19241570,19;21964262,47;23011764,56;22678076,79;21059336,62;20975338,76;21398523,00;21218666,43;21812813,44;21124750,79;20072514,51;22193066,39;20914929,28;22547295,69;22739052,06;23010838,58;21797654,65;22427865,93;22358447,60;22642830,94;21949418,78;22277406,47;20958639,52;22126826,21;20235467,53;24281941,83;22871016,66;24044960,06;22454545,06;22497575,94;22086285,31;22316889,20;22333200,66;21581982,70;20897359,50;21985789,77;21009113,98;24125279,72;23398787,58;23879507,76;23612458,97;22968356,17;24656317,48;24712435,65;23039537,93;23177548,20;22521549,32;24260633,16;21695062,20;26151055,14;23506513,34;26017517,87;24336480,88;24533245,06;25639501,97;24987018,68;25366139,90;25299032,82;24144182,03;25663370,20;23444971,09;26162811,95;26801115,39;27197492,50;25994370,97;25970935,04;26843371,56;25768228,06;27701493,69;25205712,77;24876064,90;26406224,21;24361536,76;25450311,38;23766443,42;23698523,77;21529783,45;27721288,35;27602046,23;27162624,86;24381384,74;18950821,11;10506917,06;2725011672,39
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10248,19;290,34;4423,52;35920,93;157782,43;471985,84;798848,34;1235413,36;1039163,18;1336848,71;1354729,74;1258646,58;1332092,04;1327080,21;1376015,16;1214724,33;1181837,52;1200088,96;1078526,85;1344226,91;1212784,90;1393683,44;1452880,84;1384085,74;1221987,16;1278036,10;1388779,71;1324136,18;1369340,03;1305959,31;1159761,57;1352434,51;1303381,28;1405981,74;1369325,43;1575374,38;1358987,37;1486254,65;1528395,80;1410473,27;1509751,34;1355090,25;1206393,45;1453536,33;1330412,36;1516814,66;1638782,95;1564043,63;1503800,47;1468671,72;1475070,79;1445267,00;1690739,12;1385366,06;1347320,46;1574196,16;1330752,82;1474017,17;1582177,07;1426864,69;1385981,62;1425667,74;1384770,10;1420741,41;1425163,04;1075450,04;1002954,61;1169848,92;1148374,72;1411121,16;1343410,23;1360492,19;1473317,20;1463072,28;1434235,43;1500389,12;1303743,89;1271415,30;1121953,53;1154190,64;1162889,93;1346580,41;1392133,79;1413156,42;1527204,07;1366256,64;1297320,69;1250242,57;1264809,87;1128688,18;1248790,19;1296122,17;1126422,20;1478086,90;1311032,97;1557706,03;1562566,39;1344153,69;1408560,11;1340345,49;1354044,53;1268471,79;1152530,75;1375550,86;1270052,57;1375693,63;1435591,48;1549219,35;1511666,11;1683029,60;1742741,36;1687282,42;1884499,89;1649349,76;1696588,49;1793004,59;1904675,14;1941149,83;1921329,15;1589414,51;1972852,21;1807005,59;1574586,61;1853473,83;1825980,01;1447909,95;770486,84;170457547,78
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;524,77;-;-;-;-;-;-;-;-;-;-;-;-;847,29;-;-;-;262,38;29299,95;66973,05;145428,29;533188,90;1639478,74;3564013,79;4877548,79;4510065,99;5559899,74;5279831,39;5504250,97;4903407,72;5327109,92;5414472,86;5109552,29;5190831,45;5043186,65;4922838,76;5360961,03;5086975,68;5713032,94;5391455,63;5586073,21;5453969,32;5091288,75;5602739,28;5306828,21;5445192,22;5615377,91;5326921,30;5320853,98;5281175,87;6133866,05;5790618,89;6046978,82;5368822,23;5581892,23;5738953,44;5373670,95;5575787,58;5337092,21;5512267,16;5486697,97;5316117,85;6175765,59;6047574,30;6091007,62;5588169,08;5333420,52;5562671,04;5766184,41;5763047,89;5504517,46;5218998,24;5522137,01;5150163,24;5555384,88;5810416,38;6081503,94;5722516,35;5886600,81;5911784,43;5859933,98;6308886,19;5355404,47;5490261,14;5038655,04;4756901,91;5438418,29;5531585,56;5251740,47;5470023,80;5071824,65;5231488,25;4874660,48;4952288,54;4490145,76;4242654,58;4675283,37;4785704,42;5149029,39;5319878,73;5194315,03;5228330,41;4909106,76;4966157,95;4519953,84;4728362,71;4745840,02;4947307,80;4829481,62;4642995,09;5734014,26;4761871,03;5043149,85;5074225,40;4704802,99;4984880,37;4192724,56;4177537,73;3566800,19;4186944,98;4338494,73;3612981,78;3869072,83;4041912,98;4593254,03;4190447,75;4178400,58;4278286,08;4226177,98;4691365,78;4811632,04;4840263,22;5001366,52;4429412,17;5068720,79;5558045,55;5334513,27;5484640,88;5357037,82;5387573,12;4920655,87;3531214,10;2449631,56;1195980,60;616985141,23
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1081,13;1155,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3500983,91;46573,83;3673,42;-;-;53022,28;12324,57;70539,10;-;200047,43;102590,69;-;42473,24;51447,54;46446,30;173995,56;178838,39;205542,77;71603,07;260468,72;806224,95;2301251,56;5106524,02;9138343,24;14976764,63;13707297,10;16688624,82;15481426,83;16072315,01;15481177,62;15788735,86;15941785,21;15419339,41;15161128,64;14870720,05;14359995,97;16098617,21;15713511,02;16556666,58;15945810,99;15767477,65;15181794,15;15499086,29;16676635,19;15670202,59;15650087,75;16042841,38;15662790,49;16810276,19;15413088,62;17358717,49;17105036,34;18642723,37;16649337,06;17145238,09;17856346,37;16354501,64;16138514,06;14967469,64;14517976,80;19919822,50;16949316,88;18905148,09;19257973,90;19531149,77;18481928,30;18744290,49;18969388,82;19063881,16;20174782,65;18657580,56;17966517,43;19817852,51;18452507,52;20574263,37;20284188,81;20278154,96;19109552,03;20276635,57;20205411,39;20083733,66;20366239,08;19463227,69;17988187,36;19350732,85;18042484,60;22006853,34;21660681,72;21700791,78;19762783,75;21146279,51;21041498,53;20169031,25;20540900,65;18778747,12;18290319,40;19880910,09;19538929,25;21250647,69;20818480,03;21588486,04;20749539,37;20297480,90;21630751,46;20493398,64;19752615,69;18505398,93;16882259,43;20530560,64;19650177,45;22658304,43;20593008,45;22672971,37;21321270,85;22174210,18;22504648,31;21100616,41;22238734,65;21778046,59;20975840,55;22851059,28;20489559,78;23230938,86;23986687,69;23614652,72;22160180,47;24030443,49;24086184,14;23347364,61;24127894,92;21969534,71;21806805,18;23690151,00;21649823,63;23857432,45;23962377,35;25627066,81;23372219,52;24476224,24;24551130,73;24344393,63;22074551,32;19409953,44;9580080,69;2343646046,58
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;237417,18;-;43,73;13119,38;-;31836,38;-;-;-;3236,11;15918,19;-;15918,19;16253,53;15918,19;-;2580,14;8964,90;86465,04;204863,94;692679,15;1450796,31;2847279,70;4640800,33;9905065,94;9005775,79;10748069,36;9591850,19;10282100,09;9491768,03;9226061,86;9691137,81;9361489,87;9662419,40;9015788,33;8931706,28;11532101,41;9637302,98;10292342,18;9872515,09;9775680,58;9397383,93;9201284,53;9390104,72;9667490,59;9447625,55;9423202,30;9016965,93;9960243,74;9001464,92;9957697,11;9438767,11;10550477,26;9735156,77;10227855,09;10204492,13;9922780,27;10139705,15;9316835,88;9238056,67;10490359,54;9547851,76;10910181,30;11929123,64;11414867,08;11551532,21;11153629,63;10992960,13;10791186,39;10967054,81;10368512,35;9599490,54;11146232,78;10494415,68;11086037,03;11044425,62;11469742,16;10901281,79;11546062,16;11627794,75;11252615,73;11280573,27;10825056,29;10301620,69;10728738,65;9920172,46;11774156,03;11717072,31;11546609,89;11293050,74;11283568,67;11627804,36;11610113,53;11512656,63;11140025,45;10912780,40;11497092,44;11283338,06;12440672,01;12394787,22;12910039,90;12791190,77;12510845,75;12924119,25;12387720,80;12068564,17;11767838,98;11322246,25;12413450,25;11607833,73;13340603,88;12521760,77;13406957,80;12259113,56;12203355,36;12435889,11;12050107,53;12330607,31;11947335,20;11644315,58;12674936,90;10796442,87;12672050,01;12784108,10;13531307,57;12686457,30;12641040,91;13049380,43;12315589,09;13186726,29;12325978,36;12149047,86;13335869,09;12293149,05;13323939,20;13269550,71;14214888,32;13586818,41;13818595,50;13937823,25;13643299,62;13664007,67;11697007,63;7325585,18;1356687596,68
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1182669,66;8658,79;27944,29;35903,39;53876,95;71806,78;8046,55;54532,92;71238,24;71806,78;-;2099,10;117318,14;7056,89;90670,71;17667,42;106036,02;139051,08;280452,30;690784,60;1292865,86;4457335,73;9298948,62;16473749,42;26736134,91;24097165,26;28234137,13;26736072,43;28912874,79;26124820,10;26752428,84;27777938,43;26568007,72;26526687,43;25518372,20;25941220,39;27009159,85;27117647,22;29451757,07;27808693,38;28856965,87;27818612,35;27129501,40;28898342,66;27204827,42;28575529,18;26866117,51;25448708,15;27771655,81;24787500,71;28132730,92;29508005,28;29947061,39;27547592,02;27781511,67;28978621,59;26907864,57;28663017,59;26576041,41;25307252,78;29779709,69;27762009,05;29342727,91;32623983,71;33470330,77;29603990,14;31663444,51;32823468,39;32843426,94;32446684,04;30830667,36;30115866,95;33772609,81;31330684,66;33356495,10;33839490,35;35414092,06;34032140,10;34514892,91;33991342,63;33319999,51;33859118,36;31926940,24;32271044,41;31881558,41;30754112,10;35102447,54;34617575,94;33538867,44;34737746,70;35057918,29;36567960,86;34280769,56;35727076,00;33467700,79;32566452,48;33774864,41;32287645,41;35674658,29;34309565,05;37108356,49;36993872,72;35950764,36;37189568,92;35123816,52;33722227,72;34023355,00;32989881,94;34737519,83;32307063,01;38216993,04;34838556,29;37215055,39;37268418,61;37255775,38;37780502,39;35847943,09;38467584,65;34933943,69;34799008,55;38179737,11;33064074,42;38202627,42;39986972,73;40663131,13;37259238,02;37419392,53;40332809,90;36389994,23;41068168,75;37339820,50;35479186,29;40596870,20;37258809,19;40082979,37;41223441,79;43855090,36;39365979,20;42602163,28;39644185,62;37043144,63;32263050,41;21715110,94;10689387,74;3936358749,89
