 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Unidade da Federação
Período:2010-2019
"Ano/mês do Óbito";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2010";4702;1841;8220;1107;20113;1372;4138;15445;9359;24827;8505;12714;32548;11484;6877;45067;70877;13159;74362;154689;41200;20919;44673;8860;10039;19643;8604;675344
"..Janeiro/2010";453;143;688;94;1645;90;342;1218;831;2182;744;1097;2786;935;588;3858;5833;1180;6532;12596;3301;1635;3712;749;898;1605;781;56516
"..Fevereiro/2010";381;137;607;83;1600;99;335;1146;723;1964;698;968;2518;886;538;3370;5397;1002;6032;12049;3235;1677;3572;662;748;1537;619;52583
"..Março/2010";382;161;665;104;1723;109;346;1276;756;2149;753;1094;2705;989;557;3682;5734;1119;6073;12633;3465;1666;3552;755;835;1599;695;55577
"..Abril/2010";382;140;650;82;1580;105;343;1272;801;2069;665;967;2570;970;630;3733;5667;1074;5997;12489;3261;1653;3420;707;807;1577;693;54304
"..Maio/2010";422;160;688;89;1547;111;324;1372;812;2155;734;1028;2752;975;623;3918;6108;1099;6203;13268;3557;1833;3641;713;888;1610;748;57378
"..Junho/2010";337;174;606;97;1606;119;338;1194;730;1938;685;1070;2732;997;553;3800;6091;1081;6321;13513;3681;1755;3725;713;781;1710;689;57036
"..Julho/2010";384;160;698;87;1728;121;364;1268;754;2003;676;1091;2811;971;570;4000;6067;1090;6375;13306;3468;1843;3998;755;883;1704;740;57915
"..Agosto/2010";397;137;728;97;1788;118;319;1371;796;2080;710;1060;2850;986;606;3789;6187;1126;6399;13464;3632;1898;4203;842;850;1620;746;58799
"..Setembro/2010";402;170;678;100;1648;122;339;1333;814;1913;689;1051;2645;876;550;3708;6040;1014;5995;12904;3297;1696;3783;759;856;1680;719;55781
"..Outubro/2010";405;156;691;106;1773;109;410;1295;799;2221;727;1091;2771;1011;556;3746;5965;1112;6005;12702;3483;1768;3886;745;818;1734;698;56783
"..Novembro/2010";369;145;734;85;1656;138;330;1290;718;1936;686;1067;2523;905;524;3585;5660;1093;5996;12598;3342;1726;3512;648;807;1533;670;54276
"..Dezembro/2010";388;158;787;83;1819;131;348;1410;825;2217;738;1130;2885;983;582;3878;6128;1169;6434;13167;3478;1769;3669;812;868;1734;806;58396
"2011";4506;1929;8717;1047;20193;1536;4212;16818;10125;25894;9701;13219;33660;12014;7044;45770;71750;13201;74299;156236;41790;21507;45032;8802;10213;20474;8929;688618
